x,y
-1.345351,-0.001898
-1.345351,-0.009488
-1.345351,0.001898
-1.345351,0.000000
-1.345351,0.015180
-1.345351,0.017078
-1.345351,0.005693
-1.345351,-0.005693
-1.345351,0.020873
-1.345351,0.003795
-1.345351,0.022770
-1.345351,0.024668
-1.345351,-0.026565
-1.345351,-0.049336
-1.345351,0.009488
-1.345351,0.026565
-1.345351,0.030361
-1.345351,0.007590
-1.345351,0.034156
-1.345351,0.036053
-1.345351,0.037951
-1.345351,0.032258
-1.345351,0.018975
-1.345351,0.039848
-1.345351,0.041746
-1.345351,0.043643
-1.345351,0.045541
-1.345351,0.049336
-1.345351,0.056926
-1.345351,0.055028
-1.345351,0.053131
-1.345351,0.058824
-1.345351,0.028463
-1.345351,0.060721
-1.343454,-0.055028
-1.343454,-0.056926
-1.343454,-0.047438
-1.343454,-0.060721
-1.343454,-0.043643
-1.345351,-0.037951
-1.345351,-0.055028
-1.343454,-0.041746
-1.343454,-0.049336
-1.343454,-0.039848
-1.343454,-0.037951
-1.343454,-0.051233
-1.345351,0.011385
-1.343454,-0.036053
-1.343454,-0.034156
-1.343454,-0.028463
-1.343454,-0.032258
-1.343454,-0.030361
-1.343454,-0.026565
-1.343454,-0.022770
-1.343454,-0.020873
-1.343454,-0.013283
-1.343454,-0.017078
-1.343454,-0.053131
-1.345351,0.051233
-1.343454,-0.011385
-1.343454,-0.045541
-1.343454,-0.009488
-1.343454,-0.005693
-1.343454,-0.007590
-1.343454,-0.003795
-1.343454,-0.001898
-1.343454,0.001898
-1.343454,0.000000
-1.343454,0.003795
-1.343454,0.005693
-1.343454,0.007590
-1.343454,0.009488
-1.343454,0.017078
-1.343454,0.015180
-1.343454,0.018975
-1.343454,-0.015180
-1.343454,0.020873
-1.345351,0.013283
-1.343454,0.022770
-1.343454,0.024668
-1.343454,0.026565
-1.343454,0.030361
-1.343454,0.028463
-1.343454,0.032258
-1.343454,0.036053
-1.343454,0.034156
-1.343454,0.037951
-1.343454,0.039848
-1.343454,0.041746
-1.343454,0.043643
-1.343454,0.045541
-1.343454,0.053131
-1.343454,0.051233
-1.343454,0.011385
-1.343454,0.049336
-1.343454,0.055028
-1.343454,0.056926
-1.343454,0.058824
-1.343454,0.060721
-1.341556,-0.058824
-1.341556,-0.047438
-1.341556,-0.043643
-1.341556,-0.060721
-1.343454,0.047438
-1.343454,-0.024668
-1.343454,0.013283
-1.343454,-0.058824
-1.341556,-0.041746
-1.341556,-0.053131
-1.341556,-0.036053
-1.341556,-0.055028
-1.343454,-0.018975
-1.341556,-0.030361
-1.341556,-0.028463
-1.341556,-0.026565
-1.341556,-0.024668
-1.356736,-0.020873
-1.341556,-0.037951
-1.341556,-0.022770
-1.341556,-0.020873
-1.341556,-0.018975
-1.341556,-0.045541
-1.341556,-0.017078
-1.341556,-0.015180
-1.341556,-0.013283
-1.341556,-0.011385
-1.341556,-0.009488
-1.341556,-0.007590
-1.341556,-0.005693
-1.341556,-0.001898
-1.341556,-0.003795
-1.341556,0.000000
-1.341556,0.001898
-1.341556,0.005693
-1.341556,0.007590
-1.341556,0.003795
-1.341556,0.009488
-1.341556,0.011385
-1.341556,0.013283
-1.341556,0.017078
-1.341556,0.015180
-1.341556,0.018975
-1.341556,0.020873
-1.341556,0.022770
-1.341556,0.024668
-1.341556,0.026565
-1.341556,0.028463
-1.341556,0.032258
-1.341556,0.030361
-1.341556,0.036053
-1.341556,-0.039848
-1.341556,0.037951
-1.341556,0.041746
-1.341556,0.043643
-1.341556,0.039848
-1.341556,0.045541
-1.341556,0.047438
-1.341556,0.049336
-1.341556,0.055028
-1.341556,0.056926
-1.341556,0.060721
-1.341556,0.058824
-1.341556,-0.034156
-1.341556,0.051233
-1.339658,-0.056926
-1.339658,-0.043643
-1.339658,-0.053131
-1.339658,-0.041746
-1.339658,-0.051233
-1.341556,-0.032258
-1.339658,-0.049336
-1.339658,-0.055028
